scheme,category_code,label,valence,in_confirmatory_family,justification
CACS,arguable,arguable,neutral/excluded,False,"argument-structure category (a dialectical move type); 'disagree' here flags a structural move in an argument, not an emotional-tone display - excluded from the affect family."
CACS,converge,convergent,neutral/excluded,False,"argument-structure category (a dialectical move type); 'disagree' here flags a structural move in an argument, not an emotional-tone display - excluded from the affect family."
CACS,disagree,disagreement,neutral/excluded,False,"argument-structure category (a dialectical move type); 'disagree' here flags a structural move in an argument, not an emotional-tone display - excluded from the affect family."
CACS,delim,delimiting,neutral/excluded,False,"argument-structure category (a dialectical move type); 'disagree' here flags a structural move in an argument, not an emotional-tone display - excluded from the affect family."
CACS,nonarg,non-arguable,neutral/excluded,False,"argument-structure category (a dialectical move type); 'disagree' here flags a structural move in an argument, not an emotional-tone display - excluded from the affect family."
IAM,iam1,sharing,neutral/excluded,False,"cognitive/epistemic stance category (idea-level convergence or conflict), not a moment-level affect/emotion-display code; 'dissonance'/'agreement' index epistemic state, not tone."
IAM,iam2,dissonance,neutral/excluded,False,"cognitive/epistemic stance category (idea-level convergence or conflict), not a moment-level affect/emotion-display code; 'dissonance'/'agreement' index epistemic state, not tone."
IAM,iam3,negotiation,neutral/excluded,False,"cognitive/epistemic stance category (idea-level convergence or conflict), not a moment-level affect/emotion-display code; 'dissonance'/'agreement' index epistemic state, not tone."
IAM,iam4,testing,neutral/excluded,False,"cognitive/epistemic stance category (idea-level convergence or conflict), not a moment-level affect/emotion-display code; 'dissonance'/'agreement' index epistemic state, not tone."
IAM,iam5,agreement,neutral/excluded,False,"cognitive/epistemic stance category (idea-level convergence or conflict), not a moment-level affect/emotion-display code; 'dissonance'/'agreement' index epistemic state, not tone."
Mercer,disput,disputational,neutral/excluded,False,"talk-TYPE classification of a whole episode's reasoning style, not a per-window affect code."
Mercer,cumul,cumulative,neutral/excluded,False,"talk-TYPE classification of a whole episode's reasoning style, not a per-window affect code."
Mercer,explor,exploratory,neutral/excluded,False,"talk-TYPE classification of a whole episode's reasoning style, not a per-window affect code."
Bales IPA,bgiveinfo,gives information,neutral/excluded,False,"Bales' TASK area (categories 4-9), explicitly distinguished by Bales (1950) from the SOCIOEMOTIONAL area (1-3, 10-12) used below."
Bales IPA,bgiveopin,gives opinion,neutral/excluded,False,"Bales' TASK area (categories 4-9), explicitly distinguished by Bales (1950) from the SOCIOEMOTIONAL area (1-3, 10-12) used below."
